Marginal:
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,animal,has_fangs ; " : 0.006
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,animal,has_fangs ; " : 0.0055
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,screeches,has_fangs ; " : 0.005
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,nocturnal,furry,has_fangs ; " : 0.005
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,nocturnal,animal,has_fangs ; " : 0.005
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,animal,has_fangs,-associated_with_vampires ; " : 0.0045
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,furry,animal,has_fangs ; " : 0.0045
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,furry,has_fangs,-associated_with_vampires ; " : 0.0045
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,animal,has_fangs ; " : 0.0045
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,nocturnal,screeches,has_fangs ; " : 0.0045
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,nocturnal,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,screeches,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,has_fangs,associated_with_vampires ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,furry,animal,screeches,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,furry,screeches,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,furry,has_fangs ; " : 0.004
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs ; " : 0.0035
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_fangs ; " : 0.0035
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,animal,has_fangs,-associated_with_vampires ; " : 0.0035
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,has_fangs,-associated_with_vampires ; " : 0.0035
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,animal,has_fangs,-associated_with_vampires ; " : 0.0035
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,screeches,has_fangs,-associated_with_vampires ; " : 0.0035
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,-screeches,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,furry,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,furry,animal,has_fangs,-associated_with_vampires ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,furry,screeches,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,has_fangs,associated_with_vampires ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,nocturnal,furry,animal,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,has_fangs,associated_with_vampires ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,animal,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,has_fangs,associated_with_vampires ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,animal,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,furry,has_fangs ; " : 0.003
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,nocturnal,animal,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,furry,has_fangs,-associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,nocturnal,-screeches,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,has_fangs,associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,screeches,has_fangs,-associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,furry,has_fangs,associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,-screeches,has_fangs,-associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,-screeches,has_fangs,-associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,nocturnal,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,animal,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,screeches,has_fangs,associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,has_fangs,-associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,furry,animal,screeches,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,has_fangs,associated_with_vampires ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,-screeches,has_fangs ; " : 0.0025
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,screeches,has_fangs,-associated_with_vampires ; " : 0.002
