Marginal:
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,-has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,animal,-has_fangs ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,has_fangs ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,screeches ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,-has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,-has_fangs ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,-has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,-has_fangs ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,-has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,animal ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat ; " : 0.004
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,screeches,-associated_with_vampires ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,animal,-screeches,has_fangs ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,screeches,has_fangs ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,-screeches ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,animal,-associated_with_vampires ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,animal,-screeches ; " : 0.0035
    "x0|gothic|Bat-animal|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,nocturnal ; " : 0.0035
